harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,no,no,931,rm,NA,85,0,0,14058,29.75,2019
red_pine,no,no,928,ro,NA,30,0,20,14046,21,2019
red_pine,yes,no,920,ro,NA,60,0,5,12142,12.5,2019
boot,yes,no,904,sb,NA,70,0,0,12036,29.75,2019
red_pine,yes,no,918,ro,NA,NA,NA,NA,12121,29.5,2019
red_pine,yes,no,922,ro,NA,30,0,0,14029,27,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12064,29.75,2019
red_pine,yes,no,923,rm,NA,45,0,5,14032,24.25,2019
red_pine,yes,no,924,rm,NA,NA,NA,NA,14019,24.25,2019
red_pine,no,no,929,rm,NA,80,0,0,14050,22.5,2019
boot,no,no,901,sb,20,80,0,40,12006,17.5,2019
boot,yes,no,904,sb,NA,70,0,0,12031,23.5,2019
red_pine,no,no,931,rm,NA,85,0,0,14059,21,2019
red_pine,yes,no,920,ro,NA,60,0,5,12143,31,2019
red_pine,yes,no,938,co,NA,10,0,20,14140,24.25,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12063,20.75,2019
wedge,yes,no,939,sb,NA,70,0,80,12061,18,2019
boot,yes,no,903,sb,NA,50,0,5,12019,34,2019
boot,no,no,901,sb,20,80,0,40,12005,16,2019
red_pine,no,no,931,ro,NA,85,0,0,14056,26,2019
boot,yes,no,904,sb,NA,70,0,0,12037,21.25,2019
boot,no,no,907,sb,NA,60,0,10,12055,21.75,2019
boot,yes,no,904,sb,NA,70,0,0,12029,16,2019
boot,no,no,907,sb,NA,60,0,10,12058,23,2019
red_pine,yes,no,922,rm,NA,30,0,0,14024,19,2019
wedge,yes,no,941,sb,NA,80,0,40,12076,18.25,2019
boot,yes,no,903,sb,NA,50,0,5,12024,27,2019
red_pine,no,no,931,rm,NA,85,0,0,14056,23.25,2019
boot,no,no,901,sb,20,80,0,40,12010,21.25,2019
red_pine,yes,no,938,co,NA,10,0,20,14143,19.75,2019
red_pine,no,no,927,rm,NA,70,0,0,14043,16.5,2019
boot,no,no,901,sb,20,80,0,40,12003,8,2019
red_pine,yes,no,921,rm,NA,30,0,20,14006,19.25,2019
wedge,no,no,943,sb,NA,80,0,0,12132,19,2019
red_pine,no,no,935,co,NA,20,0,50,14113,20.25,2019
boot,no,no,907,sb,NA,60,0,10,12054,19.5,2019
red_pine,yes,no,923,rm,NA,45,0,5,14031,18.25,2019
red_pine,yes,no,921,rm,NA,30,0,20,14007,16.75,2019
red_pine,yes,no,938,co,NA,10,0,20,14144,23.25,2019
red_pine,yes,no,921,rm,NA,30,0,20,14009,23,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12066,21.5,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12067,21.25,2019
red_pine,yes,no,922,ro,NA,30,0,0,14030,20.75,2019
wedge,yes,no,939,sb,NA,70,0,80,12059,20,2019
red_pine,yes,no,922,rm,NA,30,0,0,14025,18.25,2019
wedge,yes,no,941,sb,NA,80,0,40,12071,15,2019
red_pine,yes,no,937,co,NA,25,0,20,14129,13.5,2019
wedge,yes,no,939,sb,NA,70,0,80,12056,18.7,2019
boot,yes,no,911,rm,NA,25,0,30,12085,21.75,2019
boot,yes,no,903,sb,NA,50,0,5,12020,21.5,2019
red_pine,no,no,935,co,NA,20,0,50,14115,20.75,2019
red_pine,no,no,932,rm,NA,95,0,0,14082,15.25,2019
red_pine,no,no,932,rm,NA,95,0,0,14083,14.75,2019
wedge,yes,no,941,sb,NA,80,0,40,12079,17.25,2019
red_pine,yes,no,938,co,NA,10,0,20,14138,14.75,2019
wedge,yes,no,941,sb,NA,80,0,40,12073,17.5,2019
boot,yes,no,910,rm,NA,30,0,30,12082,17.5,2019
red_pine,yes,no,937,co,NA,25,0,20,14131,15.25,2019
red_pine,no,no,934,co,NA,15,0,70,12096,12.75,2019
wedge,yes,no,941,sb,NA,80,0,40,12074,13,2019
red_pine,no,no,932,ro,NA,95,0,0,14082,17.5,2019
red_pine,yes,no,923,rm,NA,45,0,5,14030,14,2019
boot,yes,no,903,sb,NA,50,0,5,12027,23.25,2019
boot,yes,no,905,sb,NA,85,0,5,12040,19,2019
red_pine,no,no,927,ro,NA,70,0,0,14044,16.57,2019
red_pine,no,no,926,ro,NA,40,0,15,14043,12.75,2019
wedge,yes,no,939,sb,NA,70,0,80,12055,19.75,2019
red_pine,yes,no,921,rm,NA,30,0,20,14008,16.25,2019
red_pine,no,no,933,co,NA,15,0,20,12084,14.25,2019
red_pine,yes,no,921,rm,NA,30,0,20,14003,13.5,2019
boot,no,no,907,sb,NA,60,0,10,12057,23.5,2019
red_pine,yes,no,922,rm,NA,30,0,0,14028,18.75,2019
red_pine,no,no,930,rm,NA,40,0,0,14054,7.5,2019
boot,yes,no,904,sb,NA,70,0,0,12030,15.75,2019
wedge,yes,no,939,sb,NA,70,0,80,12053,14.75,2019
red_pine,yes,no,936,co,NA,15,0,0,14124,14.75,2019
wedge,yes,no,941,sb,NA,80,0,40,12072,14.25,2019
red_pine,no,no,934,co,NA,15,0,70,12092,16,2019
red_pine,yes,no,920,rm,NA,60,0,5,12141,8.25,2019
boot,yes,no,903,sb,NA,50,0,5,12021,19,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12070,16.5,2019
red_pine,no,no,930,ro,NA,40,0,0,14053,14,2019
red_pine,yes,no,938,co,NA,10,0,20,14137,13,2019
red_pine,no,no,931,ro,NA,85,0,0,14057,18.5,2019
red_pine,yes,no,937,co,NA,25,0,20,14132,14.5,2019
red_pine,yes,no,937,co,NA,25,0,20,14133,14.5,2019
red_pine,no,no,932,ro,NA,95,0,0,14083,14.5,2019
red_pine,yes,no,923,ro,NA,45,0,5,14012,13,2019
red_pine,no,no,934,co,NA,15,0,70,12090,14.25,2019
red_pine,yes,no,937,co,NA,25,0,20,14134,11.75,2019
red_pine,no,no,930,rm,NA,40,0,0,14053,10.75,2019
boot,no,no,907,sb,NA,60,0,10,12056,21.5,2019
wedge,no,no,943,sb,NA,80,0,0,12126,16,2019
red_pine,yes,no,918,rm,NA,NA,NA,NA,12126,13.5,2019
red_pine,yes,no,924,rm,NA,NA,NA,NA,14022,13,2019
red_pine,no,no,935,co,NA,20,0,50,14119,17.75,2019
boot,yes,no,912,rm,NA,65,0,5,12091,16.5,2019
red_pine,yes,no,938,co,NA,10,0,20,14139,14.25,2019
